STOK KODU,STOK ADI,SEKTÖR ADI,MARKA,BARKOD 1,ÜRÜN GRUP KODU,AKS,CİNSİYET,UNIQ KOD,UNIQ ADI
SLY180569,PHYTO-TEINT ULTRA ECLAT  3+ APRICOT 30 ML,SELEKTIF TEKLİ,SISLEY,3473311805690,1-MA-00,MAKYAJ,KADIN,SSL0000000134,PHYTO-TEINT ULTRA ECLAT  3+ APRICOT
SLY180637,PHYTO-TEINT PERFECTION 1C PETAL 30 ML,SELEKTIF TEKLİ,SISLEY,3473311806376,1-MA-00,MAKYAJ,KADIN,SSL0000000116,PHYTO-TEINT PERFECTION 1C PETAL
SLY180638,PHYTO-TEINT PERFECTION 1N IVORY 30 ML,SELEKTIF TEKLİ,SISLEY,3473311806383,1-MA-00,MAKYAJ,KADIN,SSL0000000117,PHYTO-TEINT PERFECTION 1N IVORY
SLY180640,PHYTO-TEINT PERFECTION 2C SOFT BEIGE 30 ML,SELEKTIF TEKLİ,SISLEY,3473311806406,1-MA-00,MAKYAJ,KADIN,SSL0000000118,PHYTO-TEINT PERFECTION 2C SOFT BEIGE
SLY180641,PHYTO-TEINT PERFECTION 2N1 SAND 30 ML,SELEKTIF TEKLİ,SISLEY,3473311806413,1-MA-00,MAKYAJ,KADIN,SSL0000000119,PHYTO-TEINT PERFECTION 2N1 SAND
SLY180642,PHYTO-TEINT PERFECTION 2W2 DESERT 30 ML,SELEKTIF TEKLİ,SISLEY,3473311806420,1-MA-00,MAKYAJ,KADIN,SSL0000000120,PHYTO-TEINT PERFECTION 2W2 DESERT
SLY180643,PHYTO-TEINT PERFECTION 3C NATURAL 30 ML,SELEKTIF TEKLİ,SISLEY,3473311806437,1-MA-00,MAKYAJ,KADIN,SSL0000000121,PHYTO-TEINT PERFECTION 3C NATURAL
SLY180644,PHYTO-TEINT PERFECTION 3N APRICOT 30 ML,SELEKTIF TEKLİ,SISLEY,3473311806444,1-MA-00,MAKYAJ,KADIN,SSL0000000122,PHYTO-TEINT PERFECTION 3N APRICOT
SLY180712,SISLEYA LE TEINT  N°1B IVORY  30 ML,SELEKTIF TEKLİ,SISLEY,3473311807120,1-MA-00,MAKYAJ,KADIN,SSL0000000124,SISLEYA LE TEINT  N°1B IVORY
SLY180713,SISLEYA LE TEINT N°2R ORGANZA 30 ML,SELEKTIF TEKLİ,SISLEY,3473311807137,1-MA-00,MAKYAJ,KADIN,SSL0000000125,SISLEYA LE TEINT N°2R ORGANZA
