,,,,,,,,,,,,,,,
MARKA,Ürün Adı,BARKOD-1,REFERANS-1,BARKOD-2,REFERANS-2,BARKOD-3,REFERANS-3,BARKOD-4,REFERANS-4,BARKOD-5,REFERANS-5,BARKOD-6,REFERANS-6,UNIQ KOD,UNIQ ÜRÜN ADI
DIOR,SNOW PURIFYING FOAM TB 100G INT21,3348901572392,C099600777,,,,,,,,,,,DIOR00002491,SNOW PURIFYING FOAM 100G
DIOR,DREAM SKIN CARE & PERFECT,,,,,,,,,,,,,,
DIOR,DREAM SKIN CARE PERF PBTL 75ML INT24,3348901708982,C099700839,,,,,,,,,,,DIOR00002809,DREAM SKIN CARE PERF PBTL 75ML INT24
DIOR,DREAM SKIN CARE PERF PBTL 50ML INT24,3348901708975,C099700838,,,,,,,,,,,DIOR00002810,DREAM SKIN CARE PERF PBTL 50ML INT24
DIOR,DREAM SKIN CARE PERF PBTL 30ML INT24,3348901708951,C099700837,,,,,,,,,,,DIOR00002811,DREAM SKIN CARE PERF PBTL 30ML INT24
DIOR,DREAMSKIN 1-MIN MASK TB 75ML INT22,3348901647243,C099700308,,,,,,,,,,,DIOR00002493,DREAMSKIN 1-MIN MASK TB 75ML INT22
DIOR,HYDRALIFE,,,,,,,,,,,,,,
DIOR,HYDRALIFE CREME SORBET FRAICHEUR JAR 50ML INT22,3348901594660,C099600951,,,,,,,,,,,DIOR00002500,HYDRALIFE CREME SORBET FRAICHEUR JAR 50ML INT22
DIOR,HYDRALIFE CREME SORBET INTENSE JAR 50ML INT22,3348901594677,C099600952,,,,,,,,,,,DIOR00002501,HYDRALIFE CREME SORBET INTENSE JAR 50ML INT22
DIOR,HYDRALIFE SORBET EYE GEL 15 ML,3348901379496,C099600030,,,,,,,,,,,DIOR00000227,HYDRALIFE SORBET EYE GEL 15 ML
DIOR,HYDRALIFE DEEP HYDRATION - SORBET WATER ESSENCE 40ML,3348901330572,F069212000,,,,,,,,,,,DIOR00000232,HYDRALIFE DEEP HYDRATION - SORBET WATER ESSENCE 40 ML
DIOR,ONE ESSENTIAL,,,,,,,,,,,,,,
DIOR,ONE ESSENTIAL BOOSTER SERUM 75ML ,3348901365673,F072534080,,,,,,,,,,,DIOR00000189,ONE ESSENTIAL BOOSTER SERUM 75ML 
DIOR,PRESTIGE,,,,,,,,,,,,,,
DIOR,PREST MICRO SER ROSE YX FL/TB 20ML INT25,3348901739740,C099800435,,,,,,,,,,,,
DIOR,PRESTIGE LOT DE ROSE PBTL 150ML INT24,3348901674461,C099700564,,,,,,,,,,,DIOR00003063,PRESTIGE LOT DE ROSE PBTL 150ML INT24
DIOR,PREST MHDR ACT SER PBTL 75ML INT24,3348901683630,C099700678,,,,,,,,,,,DIOR00003064,PREST MHDR ACT SER PBTL 75ML INT24
DIOR,PREST MHDR ACT SER PBTL 50ML INT24,3348901609265,C099700025,,,,,,,,,,,DIOR00003065,PREST MHDR ACT SER PBTL 50ML INT24
DIOR,PRESTIGE MHDR ACT SER PBTL 30ML INT24,3348901609258,C099700024,,,,,,,,,,,DIOR00003066,PRESTIGE MHDR ACT SER PBTL 30ML INT24
DIOR,PREST CONC EYE CR JAR 15ML INT24,3348901685870,C099700707,,,,,,,,,,,DIOR00002814,PREST CONC EYE CR JAR 15ML INT24
DIOR,PREST MLDR ADV BTL 100ML INT23,3348901639880,C099700235,,,,,,,,,,,DIOR00002820,PREST MLDR ADV BTL 100ML INT23
DIOR,PREST MLDR ADV BTL 150ML INT23,3348901625807,C099700078,,,,,,,,,,,DIOR00002821,PREST MLDR ADV BTL 150ML INT23
DIOR,PRESTIGE LA CREME FINE INT23,3348901641395,C099700249,,,,,,,,,,,DIOR00002823,PRESTIGE LA CREME FINE INT23
DIOR,PRESTIGE CR JAR,3348901510721,C099600519,,,,,,,,,,,DIOR00002494,PRESTIGE CR JAR
DIOR,PRESTIGE CR RICHE JAR,3348901510738,C099600521,,,,,,,,,,,DIOR00002495,PRESTIGE CR RICHE JAR
DIOR,PRESTIGE LA CREME MAINS DE ROSE TB 50ML INT21,3348901544030,C099600618,,,,,,,,,,,DIOR00000202,PRESTIGE LA CREME MAINS DE ROSE TB 50ML INT21
DIOR,PRESTIGE MICRO-PEARLS APPLICATOR INT21,3348901532877,C099600576,,,,,,,,,,,DIOR00000204,PRESTIGE MICRO-PEARLS APPLICATOR INT21
DIOR,PRESTIGE MICRO CAVIAR DE ROSE JAR75ML INT20 ,3348901450263,C099600295,,,,,,,,,,,DIOR00000207,PRESTIGE MICRO CAVIAR DE ROSE JAR75ML INT20 
DIOR,PRST MIDNIGHT BALM JAR 50ML 25,3348901755054,E000000218,,,,,,,,,,,DIOR00003060,PRST MIDNIGHT BALM JAR 50ML 25
DIOR,PRST NECTAR PREM BTL 30 ML 25,3348901755108,E000000220,,,,,,,,,,,DIOR00003061,PRST NECTAR PREM BTL 30 ML 25
DIOR,PREST NECTAR INTEGRAL PBTL 20 ML INT25,3348901732079,C099800188,,,,,,,,,,,DIOR00003200,PREST NECTAR INTEGRAL PBTL 20 ML INT25
DIOR,PRESTIGE CLEANSERS,,,,,,,,,,,,,,
DIOR,PREST LA MOUSSE MICELLAIRE BTL/TB 120G INT21,3348901552905,C099600667,,,,,,,,,,,DIOR00000194,PRESTIGE LA MOUSSE MICELLAIRE BTL/TB 120 GR
DIOR,PREST LE BAUME DEMAQUILLANT JAR 150ML INT21,3348901565301,C099600750,,,,,,,,,,,DIOR00000195,PRESTIGE LE BAUME DEMAQUILLANT JAR 150 ML
DIOR,PREST LE SUCRE DE GOMMAGE JAR 150ML INT21,3348901565318,C099600751,,,,,,,,,,,DIOR00000196,PRESTIGE LE SUCRE DE GOMMAGE JAR 150 ML
DIOR,PRESTIGE LE SAVON 110G INT21,3348901582605,C099600810,,,,,,,,,,,DIOR00000197,PRESTIGE LE SAVON 110 GR
DIOR,PRESTIGE CUSHION,,,,,,,,,,,,,,
DIOR,PRESTIGE LE CUSHION TDR 1N 14G INT23,3348901643917,C032900010,,,,,,,,,,,DIOR00002496,PRESTIGE LE CUSHION TDR 1N 14G INT23
DIOR,PRESTIGE LE CUSHION TDR 3N 14G INT23,3348901643955,C032900030,,,,,,,,,,,DIOR00002497,PRESTIGE LE CUSHION TDR 3N 14G INT23
DIOR,PRESTIGE LE CUSHION TDR 1CR 14G INT23,3348901643931,C032900012,,,,,,,,,,,DIOR00002498,PRESTIGE LE CUSHION TDR 1CR 14G INT23
DIOR,PRESTIGE LE CUSHION TDR 2N 14G INT23,3348901643948,C032900020,,,,,,,,,,,DIOR00002499,PRESTIGE LE CUSHION TDR 2N 14G INT23
DIOR,PRESTIGE LIGHT IN WHITE,,,,,,,,,,,,,,
DIOR,PREST WH LA CREME LUM RFBL 50ML INT23,3348901617000,C099700039,,,,,,,,,,,DIOR00002816,PREST WH LA CREME LUM RFBL 50ML INT23
DIOR,PREST WH PROT UV BB 00 BTL30ML INT25,3348901649902,C035100100,,,,,,,,,,,DIOR00003460,PREST WH PROT UV BB 00 BTL30ML INT25
DIOR,CİLT BAKIMI SETLERİ,,,,,,,,,,,,,,
DIOR,DCAPT CREME RITUAL CARE INT26,3348901795777,E100000071,,,,,,,,,,,,
DIOR,DCAPT DAY NIGHT RITUAL CARE INT26,3348901795739,E100000067,,,,,,,,,,,,
DIOR,DCAPT SERUM RITUAL CARE INT26,3348901795722,E100000066,,,,,,,,,,,,
DIOR,C/TOT COMPLETE RITUAL CARE OFFER INT24,3348901699204,C400100763,,,,,,,,,,,DIOR00003463,C/TOT COMPLETE RITUAL CARE OFFER INT24
DIOR,C/TOT DISCOVERY SET CARE OFFER INT24,3348901699198,C400100761,,,,,,,,,,,DIOR00002827,C/TOT DISCOVERY SET CARE OFFER INT24
DIOR,CARE PREST DISCOVERY SET OFFER INT23,3348901685115,C400100663,,,,,,,,,,,DIOR00002828,CARE PREST DISCOVERY SET OFFER INT23
DIOR,SEVGİLİLER GÜNÜ SET,,,,,,,,,,,,,,
DIOR,MD BB 50ML LIP GLOW GIFT SET VDAY INT26,3348901800488,E100000075,,,,,,,,,,,,
DIOR,MD BB 50ML LIP GLOW GIFT SET VDAY 25,3348901749237,E000000132,,,,,,,,,,,,
DIOR,CİLT BAKIMI YILBAŞI SETLERİ 2024,,,,,,,,,,,,,,
DIOR,HOL BEAUTY CARE SET INT24,3348901738521,C400100962,,,,,,,,,,,,
DIOR,HOL C/TOT CREME ROUTINE OFFER INT24,3348901727822,C400100899,,,,,,,,,,,,
DIOR,HOL PREST PERFECT RITUAL OFFER INT24,3348901727846,C400100901,,,,,,,,,,,,
DIOR,CİLT BAKIMI YILBAŞI SETLERİ 2025,,,,,,,,,,,,,,
DIOR,BEAUTY & CARE SET HOL INT25,3348901786560,E100000058,,,,,,,,,,,,
DIOR,YÜZ MAKYAJI,,,,,,,,,,,,,,
DIOR,FOREVER PRESSED POWDER 2025,,,,,,,,,,,,,,
DIOR,FRV NUDE PWD 00 LUMINESCENT INT25,3348901750059,E000000178,,,,,,,,,,,,
DIOR,FRV NUDE PWD 01 FAIR INT25,3348901750042,E000000177,,,,,,,,,,,,
DIOR,FRV NUDE PWD 02 LIGHT INT25,3348901750035,E000000176,,,,,,,,,,,,
DIOR,FRV NUDE PWD 03 MEDIUM INT25,3348901750028,E000000175,,,,,,,,,,,,
DIOR,"FRV NUDE PWD 3,5 INT25",3348901774079,E000000736,,,,,,,,,,,,
DIOR,FOREVER SKIN BRONZE ,,,,,,,,,,,,,,
DIOR,FRV BRZ IN BALM 1 INT26,3348901802673,E000001351,,,,,,,,,,,,
DIOR,FRV BRZ IN BALM 2 INT26,3348901802666,E000001350,,,,,,,,,,,,
DIOR,FRV BRZ IN BALM 3 INT26,3348901802659,E000001349,,,,,,,,,,,,
DIOR,FRV BRZ IN BALM 4 INT26,3348901802642,E000001348,,,,,,,,,,,,
DIOR,FRV BRZ IN BALM 5 INT26,3348901802635,E000001347,,,,,,,,,,,,
DIOR,FRV BRZ IN BALM 6 INT26,3348901802628,E000001346,,,,,,,,,,,,
DIOR,FOREVER SKIN PERFECT ,,,,,,,,,,,,,,
DIOR,DIOR FRV SKIN PERFECT 3W INT25,3348901781299,E000000847,,,,,,,,,,,,
DIOR,"DIOR FRV SKIN PERFECT 0,5N INT25",3348901781336,E000000851,,,,,,,,,,,,
DIOR,DIOR FRV SKIN PERFECT 3WO INT25,3348901781305,E000000848,,,,,,,,,,,,
DIOR,"DIOR FRV SKIN PERFECT 4,5N INT25",3348901781312,E000000849,,,,,,,,,,,,
DIOR,DIOR FRV SKIN PERFECT 4W INT25,3348901781329,E000000850,,,,,,,,,,,,
DIOR,DIOR FORV SKIN PERFECT 00 INT24,3348901718509,C037900101,,,,,,,,,,,DIOR00003067,DIOR FORV SKIN PERFECT 00 INT24
DIOR,DIOR FORV SKIN PERFECT 0N INT24,3348901670432,C037900100,,,,,,,,,,,DIOR00003068,DIOR FORV SKIN PERFECT 0N INT24
DIOR,DIOR FORV SKIN PERFECT 15N INT24,3348901670302,C037900015,,,,,,,,,,,DIOR00003069,DIOR FORV SKIN PERFECT 15N INT24
DIOR,DIOR FORV SKIN PERFECT 1CR INT24,3348901670296,C037900012,,,,,,,,,,,DIOR00003070,DIOR FORV SKIN PERFECT 1CR INT24
DIOR,DIOR FORV SKIN PERFECT 1N INT24,3348901670272,C037900010,,,,,,,,,,,DIOR00003071,DIOR FORV SKIN PERFECT 1N INT24
DIOR,DIOR FORV SKIN PERFECT 1W INT24,3348901670289,C037900011,,,,,,,,,,,DIOR00003072,DIOR FORV SKIN PERFECT 1W INT24
DIOR,DIOR FORV SKIN PERFECT 25N INT24,3348901670340,C037900025,,,,,,,,,,,DIOR00003073,DIOR FORV SKIN PERFECT 25N INT24
DIOR,DIOR FORV SKIN PERFECT 2CR INT24,3348901670333,C037900022,,,,,,,,,,,DIOR00003074,DIOR FORV SKIN PERFECT 2CR INT24
DIOR,DIOR FORV SKIN PERFECT 2N INT24,3348901670319,C037900020,,,,,,,,,,,DIOR00003075,DIOR FORV SKIN PERFECT 2N INT24
DIOR,DIOR FORV SKIN PERFECT 2W INT24,3348901670326,C037900021,,,,,,,,,,,DIOR00003076,DIOR FORV SKIN PERFECT 2W INT24
DIOR,DIOR FORV SKIN PERFECT 35N INT24,3348901670364,C037900035,,,,,,,,,,,DIOR00003077,DIOR FORV SKIN PERFECT 35N INT24
DIOR,DIOR FORV SKIN PERFECT 3N INT24,3348901670623,C037900030,,,,,,,,,,,DIOR00003078,DIOR FORV SKIN PERFECT 3N INT24
DIOR,DIOR FORV SKIN PERFECT 4N INT24,3348901670371,C037900040,,,,,,,,,,,DIOR00003079,DIOR FORV SKIN PERFECT 4N INT24
DIOR,DIOR FORV SKIN PERFECT 5N INT24,3348901670388,C037900050,,,,,,,,,,,DIOR00003080,DIOR FORV SKIN PERFECT 5N INT24
DIOR,DIOR FORV SKIN PERFECT 6N INT24,3348901670395,C037900060,,,,,,,,,,,DIOR00003081,DIOR FORV SKIN PERFECT 6N INT24
DIOR,DIOR FORV SKIN PERFECT 7N INT24,3348901670401,C037900070,,,,,,,,,,,DIOR00003082,DIOR FORV SKIN PERFECT 7N INT24
DIOR,FOREVER SKIN CONTOUR STICK ,,,,,,,,,,,,,,
DIOR,DIOR FV SKIN CONTOUR STICK 001 INT24,3348901726795,C045300001,,,,,,,,,,,DIOR00003083,DIOR FV SKIN CONTOUR STICK 001 INT24
DIOR,DIOR FV SKIN CONTOUR STICK 002 INT24,3348901726801,C045300002,,,,,,,,,,,DIOR00003084,DIOR FV SKIN CONTOUR STICK 002 INT24
DIOR,DIOR FV SKIN CONTOUR STICK 003 INT24,3348901726818,C045300003,,,,,,,,,,,DIOR00003085,DIOR FV SKIN CONTOUR STICK 003 INT24
DIOR,DIOR FV SKIN CONTOUR STICK 004 INT24,3348901726825,C045300004,,,,,,,,,,,DIOR00003086,DIOR FV SKIN CONTOUR STICK 004 INT24
DIOR,FOREVER GLOW MAXIMIZER,,,,,,,,,,,,,,
DIOR,FRV GLW MAX 018 INT25,3348901765978,E000000490,,,,,,,,,,,DIOR00003464,FRV GLW MAX 018 INT25
DIOR,FRV GLW MAX 019 INT25,3348901765954,E000000488,,,,,,,,,,,DIOR00003465,FRV GLW MAX 019 INT25
DIOR,DIOR FORV GLOW MAXIMIZER 011 INT24,3348901713573,C043600011,,,,,,,,,,,DIOR00002829,DIOR FORV GLOW MAXIMIZER 011 INT24
DIOR,DIOR FORV GLOW MAXIMIZER 012 INT24,3348901713580,C043600012,,,,,,,,,,,DIOR00002830,DIOR FORV GLOW MAXIMIZER 012 INT24
DIOR,DIOR FORV GLOW MAXIMIZER 013 INT24,3348901713597,C043600013,,,,,,,,,,,DIOR00002831,DIOR FORV GLOW MAXIMIZER 013 INT24
DIOR,DIOR FORV GLOW MAXIMIZER 014 INT24,3348901723909,C043600014,,,,,,,,,,,DIOR00002832,DIOR FORV GLOW MAXIMIZER 014 INT24
DIOR,DIOR FORV GLOW MAXIMIZER 015 INT24,3348901723916,C043600015,,,,,,,,,,,DIOR00002833,DIOR FORV GLOW MAXIMIZER 015 INT24
DIOR,DIOR FORV GLOW MAXIMIZER 016 INT24,3348901723923,C043600016,,,,,,,,,,,DIOR00003466,DIOR FORV GLOW MAXIMIZER 016 INT24
DIOR,FOREVER NATURAL BRONZE GLOW,,,,,,,,,,,,,,
DIOR,DIOR FOR NAT BRZ GLOW 031,3348901723022,C043800031,,,,,,,,,,,DIOR00003087,DIOR FOR NAT BRZ GLOW 031
DIOR,DIOR FOR NAT BRZ GLOW 032,3348901723039,C043800032,,,,,,,,,,,DIOR00003088,DIOR FOR NAT BRZ GLOW 032
DIOR,DIOR FOR NAT BRZ GLOW 051,3348901723046,C043800051,,,,,,,,,,,DIOR00003089,DIOR FOR NAT BRZ GLOW 051
DIOR,DIOR FOR NAT BRZ GLOW 052,3348901723053,C043800052,,,,,,,,,,,DIOR00003090,DIOR FOR NAT BRZ GLOW 052
DIOR,FOREVER STAR FILTER,,,,,,,,,,,,,,
DIOR,DIOR FORV GLOW FILTER 0N,3348901723770,C045000100,,,,,,,,,,,DIOR00002834,DIOR FORV GLOW FILTER 0N
DIOR,DIOR FORV GLOW FILTER 1N,3348901723688,C045000010,,,,,,,,,,,DIOR00002835,DIOR FORV GLOW FILTER 1N
DIOR,DIOR FORV GLOW FILTER 2N,3348901723695,C045000020,,,,,,,,,,,DIOR00002836,DIOR FORV GLOW FILTER 2N
DIOR,DIOR FORV GLOW FILTER 3N,3348901723701,C045000030,,,,,,,,,,,DIOR00002837,DIOR FORV GLOW FILTER 3N
DIOR,DIOR FORV GLOW FILTER 4N,3348901723718,C045000040,,,,,,,,,,,DIOR00002838,DIOR FORV GLOW FILTER 4N
DIOR,DIOR FORV GLOW FILTER 5N,3348901723725,C045000050,,,,,,,,,,,DIOR00002839,DIOR FORV GLOW FILTER 5N
DIOR,DIOR FORV GLOW FILTER 6N,3348901723732,C045000060,,,,,,,,,,,DIOR00002840,DIOR FORV GLOW FILTER 6N
DIOR,DIOR FORV GLOW FILTER 7N,3348901723749,C045000070,,,,,,,,,,,DIOR00002841,DIOR FORV GLOW FILTER 7N
DIOR,DIOR FORV GLOW FILTER 8N,3348901723756,C045000080,,,,,,,,,,,DIOR00002842,DIOR FORV GLOW FILTER 8N
DIOR,DIOR FORV GLOW FILTER 9N,3348901723763,C045000090,,,,,,,,,,,DIOR00002843,DIOR FORV GLOW FILTER 9N
DIOR,FOREVER SKIN CORRECT & VEIL PRIMER,,,,,,,,,,,,,,
DIOR,DSK FORV SKIN CORRECT 0N INT23,3348901637756,C032600100,,,,,,,,,,,DIOR00002512,DSK FORV SKIN CORRECT 0N INT23
DIOR,DSK FORV SKIN CORRECT 1N INT23,3348901637497,C032600010,,,,,,,,,,,DIOR00002514,DSK FORV SKIN CORRECT 1N INT23
DIOR,DSK FORV SKIN CORRECT 1W INT23,3348901637503,C032600011,,,,,,,,,,,DIOR00002515,DSK FORV SKIN CORRECT 1W INT23
DIOR,"DSK FORV SKIN CORRECT 1,5N INT23",3348901637527,C032600015,,,,,,,,,,,DIOR00002513,"DSK FORV SKIN CORRECT 1,5N INT23"
DIOR,DSK FORV SKIN CORRECT 2CR INT23,3348901637558,C032600022,,,,,,,,,,,DIOR00002519,DSK FORV SKIN CORRECT 2CR INT23
DIOR,DSK FORV SKIN CORRECT 2N INT2,3348901637534,C032600020,,,,,,,,,,,DIOR00002517,DSK FORV SKIN CORRECT 2N INT2
DIOR,DSK FORV SKIN CORRECT 2W INT23,3348901637541,C032600021,,,,,,,,,,,DIOR00002518,DSK FORV SKIN CORRECT 2W INT23
DIOR,DSK FORV SKIN CORRECT 2WO INT23,3348901637886,C032600221,,,,,,,,,,,DIOR00002520,DSK FORV SKIN CORRECT 2WO INT23
DIOR,"DSK FORV SKIN CORRECT 2,5N INT23",3348901637572,C032600025,,,,,,,,,,,DIOR00002516,"DSK FORV SKIN CORRECT 2,5N INT23"
DIOR,DSK FORV SKIN CORRECT 3N INT23,3348901637589,C032600030,,,,,,,,,,,DIOR00002521,DSK FORV SKIN CORRECT 3N INT23
DIOR,DSK FORV SKIN CORRECT 3W INT23,3348901637596,C032600031,,,,,,,,,,,DIOR00002522,DSK FORV SKIN CORRECT 3W INT23
DIOR,DSK FORV SKIN CORRECT 4N INT23,3348901637640,C032600040,,,,,,,,,,,DIOR00002523,DSK FORV SKIN CORRECT 4N INT23
DIOR,DSK FORV GLOW VEIL PRIMER 30ML INT23,3348901630481,C099700184,,,,,,,,,,,DIOR00002525,DSK FORV GLOW VEIL PRIMER 30ML INT23
DIOR,DSK FORV VELVET VEIL PRIMER 30ML INT23,3348901630474,C099700181,,,,,,,,,,,DIOR00002524,DSK FORV VELVET VEIL PRIMER 30ML INT23
DIOR,FRV HYD NUDE FDT FLUID,,,,,,,,,,,,,,
DIOR,FRV HYD NUDE FDT FLUID 1N INT25,3348901698856,C041900010,,,,,,,,,,,DIOR00003091,FRV HYD NUDE FDT FLUID 1N INT25
DIOR,FRV HYD NUDE FDT FLUID 15N INT25,3348901698535,C041900015,,,,,,,,,,,DIOR00003092,FRV HYD NUDE FDT FLUID 15N INT25
DIOR,FRV HYD NUDE FDT FLUID 2N INT25,3348901698542,C041900020,,,,,,,,,,,DIOR00003093,FRV HYD NUDE FDT FLUID 2N INT25
DIOR,FRV HYD NUDE FDT FLUID 2W INT25,3348901698870,C041900021,,,,,,,,,,,DIOR00003094,FRV HYD NUDE FDT FLUID 2W INT25
DIOR,FRV HYD NUDE FDT FLUID 2CR INT25,3348901698566,C041900022,,,,,,,,,,,DIOR00003095,FRV HYD NUDE FDT FLUID 2CR INT25
DIOR,FRV HYD NUDE FDT FLUID 25N INT25,3348901698580,C041900025,,,,,,,,,,,DIOR00003096,FRV HYD NUDE FDT FLUID 25N INT25
DIOR,FRV HYD NUDE FDT FLUID 3N INT25,3348901698597,C041900030,,,,,,,,,,,DIOR00003097,FRV HYD NUDE FDT FLUID 3N INT25
DIOR,FRV HYD NUDE FDT FLUID 3W INT25,3348901698603,C041900031,,,,,,,,,,,DIOR00003098,FRV HYD NUDE FDT FLUID 3W INT25
DIOR,FRV HYD NUDE FDT FLUID 3CR INT25,3348901698887,C041900032,,,,,,,,,,,DIOR00003099,FRV HYD NUDE FDT FLUID 3CR INT25
DIOR,FRV HYD NUDE FDT FLUID 35N INT25,3348901698894,C041900035,,,,,,,,,,,DIOR00003100,FRV HYD NUDE FDT FLUID 35N INT25
DIOR,FRV HYD NUDE FDT FLUID 4N INT25,3348901698627,C041900040,,,,,,,,,,,DIOR00003101,FRV HYD NUDE FDT FLUID 4N INT25
DIOR,FRV HYD NUDE FDT FLUID 45N INT25,3348901698641,C041900045,,,,,,,,,,,DIOR00003102,FRV HYD NUDE FDT FLUID 45N INT25
DIOR,FRV HYD NUDE FDT FLUID 5N INT25,3348901698658,C041900050,,,,,,,,,,,DIOR00003103,FRV HYD NUDE FDT FLUID 5N INT25
DIOR,FOREVER COMPACT,,,,,,,,,,,,,,
DIOR,DSK FORV FDT CPT 1N,3348901608862,C029300010,,,,,,,,,,,DIOR00002526,DSK FORV FDT CPT 1N
DIOR,DSK FORV FDT CPT 2N,3348901607612,C029300020,,,,,,,,,,,DIOR00002527,DSK FORV FDT CPT 2N
DIOR,DSK FORV FDT CPT 2.5N,3348901608923,C029300025,,,,,,,,,,,DIOR00002528,DSK FORV FDT CPT 2.5N
DIOR,DSK FORV FDT CPT 3N,3348901608930,C029300030,,,,,,,,,,,DIOR00002529,DSK FORV FDT CPT 3N
DIOR,DSK FORV FDT CPT 4N,3348901608947,C029300040,,,,,,,,,,,DIOR00002530,DSK FORV FDT CPT 4N
DIOR,FRV SKIN GLOW,,,,,,,,,,,,,,
DIOR,FRV SKIN GLW 4.5N INT26,3348901792776,E000001110,,,,,,,,,,,,
DIOR,FRV SKIN GLW 3.5N INT26,3348901792837,E000001116,,,,,,,,,,,,
DIOR,FRV SKIN GLW 4N INT26,3348901792851,E000001118,,,,,,,,,,,,
DIOR,FRV SKIN GLW 2WP INT26,3348901792875,E000001120,,,,,,,,,,,,
DIOR,FRV SKIN GLW 3N INT26,3348901792882,E000001121,,,,,,,,,,,,
DIOR,FRV SKIN GLW 1.5N INT26,3348901792929,E000001125,,,,,,,,,,,,
DIOR,FRV SKIN GLW 2.5W INT26,3348901792943,E000001127,,,,,,,,,,,,
DIOR,FRV SKIN GLW 2W INT26,3348901792950,E000001128,,,,,,,,,,,,
DIOR,FRV SKIN GLW 1W INT26,3348901792967,E000001129,,,,,,,,,,,,
DIOR,FRV SKIN GLW 2N INT26,3348901792974,E000001130,,,,,,,,,,,,
DIOR,FRV SKIN GLW 2.5N INT26,3348901793025,E000001135,,,,,,,,,,,,
DIOR,FRV SKIN GLW 0N INT26,3348901793056,E000001138,,,,,,,,,,,,
DIOR,FRV SKIN GLW 3C INT26,3348901793247,E000001157,,,,,,,,,,,,
DIOR,FRV SKIN GLW 1N INT26,3348901792646,E000001098,,,,,,,,,,,,
DIOR,FOREVER SKIN WEAR,,,,,,,,,,,,,,
DIOR,FRV SKIN WEAR 3C INT26,3348901792301,E000001064,,,,,,,,,,,,
DIOR,FRV SKIN WEAR 3N INT26,3348901792325,E000001066,,,,,,,,,,,,
DIOR,FRV SKIN WEAR 4.5N INT26,3348901792363,E000001070,,,,,,,,,,,,
DIOR,FRV SKIN WEAR 4N INT26,3348901792400,E000001074,,,,,,,,,,,,
DIOR,FRV SKIN WEAR 1N INT26,3348901792486,E000001082,,,,,,,,,,,,
DIOR,FRV SKIN WEAR 3.5N INT26,3348901792523,E000001086,,,,,,,,,,,,
DIOR,FRV SKIN WEAR 1.5N INT26,3348901792578,E000001091,,,,,,,,,,,,
DIOR,FRV SKIN WEAR 0N INT26,3348901792585,E000001092,,,,,,,,,,,,
DIOR,FRV SKIN WEAR 1W INT26,3348901792653,E000001099,,,,,,,,,,,,
DIOR,FRV SKIN WEAR 2.5N INT26,3348901792684,E000001102,,,,,,,,,,,,
DIOR,FRV SKIN WEAR 2.5W INT26,3348901792691,E000001103,,,,,,,,,,,,
DIOR,FRV SKIN WEAR 2W INT26,3348901792707,E000001104,,,,,,,,,,,,
DIOR,FRV SKIN WEAR 2N INT26,3348901792721,E000001106,,,,,,,,,,,,
DIOR,FRV SKIN WEAR 2WP INT26,3348901792745,E000001108,,,,,,,,,,,,
DIOR,FRV NUDE BRZ VELVET,,,,,,,,,,,,,,
DIOR,FRV NUDE BRZ VELVET 04 INT25,3348901746595,E000000033,,,,,,,,,,, DIOR00003104,FRV NUDE BRZ VELVET 04 INT25
DIOR,FRV NUDE BRZ VELVET 05 INT25,3348901746632,E000000037,,,,,,,,,,, DIOR00003105,FRV NUDE BRZ VELVET 05 INT25
DIOR,FRV NUDE BRZ VELVET 02 INT25,3348901746649,E000000038,,,,,,,,,,, DIOR00003106,FRV NUDE BRZ VELVET 02 INT25
DIOR,FRV NUDE BRZ VELVET 03 INT25,3348901746656,E000000039,,,,,,,,,,, DIOR00003107,FRV NUDE BRZ VELVET 03 INT25
DIOR,FRV NUDE BRZ GLW 02 INT25,3348901746687,E000000040,,,,,,,,,,, DIOR00003108,FRV NUDE BRZ GLW 02 INT25
DIOR,FRV NUDE BRZ GLW 05 INT25,3348901746717,E000000041,,,,,,,,,,, DIOR00003109,FRV NUDE BRZ GLW 05 INT25
DIOR,FRV NUDE BRZ GLW 04 INT25,3348901746731,E000000042,,,,,,,,,,, DIOR00003110,FRV NUDE BRZ GLW 04 INT25
DIOR,FRV NUDE BRZ GLW 03 INT25,3348901746748,E000000043,,,,,,,,,,, DIOR00003111,FRV NUDE BRZ GLW 03 INT25
DIOR,DSK FORV PERF FIX MIST 001 INT21,3348901569897,C023300001,,,,,,,,,,, DIOR00000302,DIORSKIN FOREVER PERF FIX MIST 001
DIOR,FOREVER CUSHION,,,,,,,,,,,,,,
DIOR,DSK FORV CUSHION PDR 010 INT21,3348901506519,C014900010,,,,,,,,,,, DIOR00000308,DIORSKIN FOREVER CUSHION PDR 010
DIOR,DSK FORV CUSHION PDR 020 INT21,3348901506526,C014900020,,,,,,,,,,, DIOR00000309,DIORSKIN FOREVER CUSHION PDR 020
DIOR,DSK FORV CUSHION PDR 030 INT21,3348901506533,C014900030,,,,,,,,,,, DIOR00000310,DIORSKIN FOREVER CUSHION PDR 030
DIOR,DSK FORV CUSHION PDR 040 INT21,3348901506540,C014900040,,,,,,,,,,, DIOR00000311,DIORSKIN FOREVER CUSHION PDR 040
DIOR,DSK FORV CUSHION PDR 050 INT21,3348901506557,C014900050,,,,,,,,,,, DIOR00000312,DIORSKIN FOREVER CUSHION PDR 050
DIOR,FOREVER LUMINIZER 2025,,,,,,,,,,,,,,
